customer_id,age,gender,region,total_orders,avg_order_value,days_since_last_purchase,loyalty_score,complaints,payment_type,tenure_months,is_promo_user,churn
CUST000025,24,Male,Urban,3,62.42,40,1.0,0,Bank Transfer,25,0,0
CUST000026,27,Male,Suburban,9,93.55,4,1.0,0,PayPal,28,0,0
CUST000027,21,Male,Suburban,8,41.24,29,1.0,0,Credit Card,7,0,0
CUST000028,28,Female,Urban,6,38.4,11,0.7,0,PayPal,17,0,0
CUST000029,23,Other,Urban,3,70.03,18,1.0,0,PayPal,22,0,0
CUST000030,25,Female,Urban,5,43.8,7,0.61,1,PayPal,3,0,0
CUST000031,23,Male,Rural,5,47.93,60,0.75,0,Credit Card,25,0,0
CUST000032,36,Female,Suburban,6,33.34,26,0.7,0,PayPal,20,1,0
CUST000033,26,Male,Rural,3,33.6,86,0.95,0,PayPal,36,0,0
CUST000034,21,Female,Urban,7,105.38,25,0.96,0,Bank Transfer,41,0,0
CUST000035,31,Female,Suburban,4,41.89,3,0.74,0,Apple Pay,60,0,0
CUST000036,20,Male,Suburban,1,34.02,5,0.68,0,PayPal,21,1,0
CUST000037,28,Female,Suburban,6,73.41,135,0.81,1,PayPal,14,0,0
CUST000038,18,Female,Rural,6,23.18,38,0.85,1,Credit Card,6,0,1
CUST000039,20,Male,Urban,4,43.37,1,0.49,0,PayPal,5,1,0
CUST000040,27,Female,Urban,5,73.84,36,1.0,0,Credit Card,18,1,0
CUST000041,30,Male,Suburban,9,68.77,15,0.88,0,Apple Pay,5,0,0
CUST000042,27,Female,Suburban,5,74.41,11,0.44,0,Apple Pay,6,0,0
CUST000043,26,Female,Suburban,4,35.06,5,0.86,0,PayPal,19,1,0
CUST000044,25,Female,Urban,3,74.3,54,0.35,0,Credit Card,13,0,0
CUST000045,19,Female,Suburban,6,40.68,1,0.65,0,Credit Card,8,0,0
CUST000046,23,Female,Urban,2,45.46,10,1.0,0,Apple Pay,14,0,0
CUST000047,24,Male,Urban,6,88.88,10,1.0,0,Apple Pay,33,0,0
CUST000048,32,Female,Suburban,7,39.01,5,0.72,0,Credit Card,26,0,0
CUST000049,28,Male,Suburban,6,55.56,21,1.0,0,PayPal,39,1,0
CUST000050,18,Female,Urban,5,63.73,1,0.58,2,Credit Card,16,1,0
CUST000051,28,Male,Urban,3,34.3,10,0.67,0,Credit Card,13,0,0
CUST000052,25,Male,Urban,4,83.19,81,0.79,1,Credit Card,21,1,0
CUST000053,23,Female,Urban,4,73.45,11,1.0,0,PayPal,6,1,0
CUST000054,30,Male,Suburban,5,10.27,13,0.89,0,Credit Card,15,0,0
CUST000055,32,Female,Rural,5,44.44,19,0.68,0,Credit Card,14,0,0
CUST000056,31,Male,Urban,5,41.45,24,0.51,0,Credit Card,60,0,0
CUST000057,22,Male,Suburban,5,71.94,49,0.83,0,PayPal,45,0,0
CUST000058,25,Female,Rural,5,16.87,6,0.93,0,PayPal,30,0,0
CUST000059,28,Male,Rural,5,34.3,61,1.0,0,Credit Card,26,0,0
CUST000060,31,Male,Urban,8,68.69,42,0.69,0,Apple Pay,57,1,0
CUST000061,24,Female,Rural,3,40.87,38,0.36,0,Credit Card,26,1,0
CUST000062,26,Male,Urban,2,78.31,2,0.56,1,PayPal,9,0,0
CUST000063,21,Female,Urban,4,23.56,1,0.57,0,Credit Card,9,0,0
CUST000064,21,Male,Urban,4,99.65,27,0.73,1,Credit Card,34,0,0
CUST000065,31,Male,Suburban,7,60.5,59,0.67,0,Credit Card,30,0,0
CUST000066,33,Female,Urban,4,92.63,26,0.7,2,Credit Card,26,0,0
CUST000067,26,Male,Urban,5,80.98,7,0.66,0,Apple Pay,41,0,0
CUST000068,32,Male,Urban,6,59.72,2,0.73,0,PayPal,39,0,0
CUST000069,28,Male,Rural,5,19.45,36,1.0,0,Apple Pay,3,0,0
CUST000070,23,Male,Rural,5,30.98,38,1.0,0,Credit Card,17,1,0
CUST000071,28,Female,Urban,3,98.15,5,0.9,0,PayPal,28,0,0
CUST000072,34,Male,Rural,11,62.17,1,0.97,0,Credit Card,48,0,0
CUST000073,26,Female,Rural,5,30.09,15,0.76,0,Bank Transfer,31,0,0
CUST000074,34,Female,Suburban,5,10.0,26,0.55,1,Apple Pay,34,0,0
CUST000075,18,Male,Urban,4,54.9,36,0.53,0,Apple Pay,7,0,1
CUST000076,31,Female,Suburban,8,44.25,49,0.66,0,Credit Card,4,0,0
CUST000077,27,Male,Rural,3,36.0,28,1.0,0,PayPal,25,0,0
CUST000078,25,Other,Suburban,6,60.57,3,0.61,0,Credit Card,13,0,0
CUST000079,27,Male,Urban,2,81.03,34,0.82,0,Credit Card,29,0,0
CUST000080,18,Female,Suburban,4,69.81,124,0.78,0,Credit Card,11,0,0
CUST000081,25,Female,Suburban,4,58.91,70,1.0,0,Credit Card,12,0,0
CUST000082,28,Male,Suburban,4,13.98,61,1.0,0,PayPal,34,0,0
CUST000083,34,Female,Urban,9,51.81,10,1.0,0,PayPal,19,0,0
CUST000084,24,Female,Urban,5,115.3,41,0.7,0,PayPal,10,0,0
CUST000085,22,Male,Rural,8,45.99,57,0.82,0,Bank Transfer,17,0,1
CUST000086,24,Male,Rural,5,45.89,34,0.49,0,Credit Card,30,1,0
CUST000087,31,Female,Urban,8,68.63,8,0.6,1,Credit Card,18,1,0
CUST000088,28,Female,Rural,8,46.65,92,0.68,2,PayPal,28,0,0
CUST000089,24,Other,Urban,3,10.0,17,0.98,0,PayPal,15,0,0
CUST000090,29,Female,Suburban,4,45.21,4,1.0,0,Credit Card,45,0,0
CUST000091,27,Female,Suburban,6,49.24,3,1.0,0,Apple Pay,17,0,0
CUST000092,31,Female,Rural,5,60.5,31,1.0,0,PayPal,12,0,0
CUST000093,23,Male,Rural,4,40.76,17,0.71,0,PayPal,53,0,0
CUST000094,25,Male,Urban,6,20.48,2,0.86,0,PayPal,20,0,0
CUST000095,25,Female,Rural,2,46.88,40,0.74,1,PayPal,28,0,0
CUST000096,19,Female,Urban,4,40.71,48,0.53,0,PayPal,12,0,0
CUST000097,28,Male,Suburban,2,25.66,38,0.51,0,PayPal,27,1,0
CUST000098,28,Male,Suburban,8,33.32,6,1.0,0,Credit Card,30,0,0
CUST000099,27,Female,Suburban,7,60.85,35,0.58,0,Apple Pay,9,0,0
CUST000100,25,Female,Urban,2,90.21,1,0.55,0,PayPal,36,1,0
CUST000101,19,Male,Rural,5,47.73,10,1.0,0,PayPal,18,0,1
CUST000102,24,Male,Urban,6,75.17,15,0.54,0,PayPal,36,0,0
CUST000103,25,Male,Urban,7,71.35,54,0.71,1,PayPal,10,0,0
CUST000104,22,Male,Suburban,7,52.03,14,1.0,0,Credit Card,12,0,0
CUST000105,26,Male,Suburban,7,63.94,1,0.99,0,Bank Transfer,22,0,0
CUST000106,29,Male,Rural,6,10.0,13,0.51,1,Bank Transfer,9,0,0
CUST000107,36,Female,Urban,6,62.67,20,0.76,0,Credit Card,23,0,1
CUST000108,27,Male,Urban,5,34.92,89,0.31,1,Credit Card,25,0,0
CUST000109,28,Female,Rural,8,58.61,84,1.0,0,Apple Pay,22,0,1
CUST000110,26,Female,Suburban,7,47.06,5,0.83,0,Apple Pay,21,1,0
CUST000111,18,Male,Urban,4,60.74,6,1.0,0,PayPal,7,0,0
CUST000112,26,Female,Suburban,5,19.9,5,0.71,0,PayPal,5,0,0
CUST000113,27,Male,Suburban,8,70.34,46,1.0,0,Apple Pay,19,0,0
CUST000114,39,Female,Suburban,6,62.55,1,1.0,0,Credit Card,3,0,0
CUST000115,26,Male,Suburban,2,61.14,4,0.76,1,PayPal,2,0,0
CUST000116,28,Female,Rural,3,26.99,23,0.92,1,PayPal,12,0,0
CUST000117,26,Female,Rural,7,27.62,8,1.0,0,Bank Transfer,9,0,0
CUST000118,21,Male,Suburban,3,54.47,2,0.36,0,Credit Card,26,1,0
CUST000119,32,Male,Urban,9,43.33,13,0.5,0,PayPal,19,0,1
CUST000120,30,Female,Rural,1,46.96,9,0.93,0,PayPal,25,0,0
CUST000121,30,Female,Suburban,5,10.0,21,0.67,1,Apple Pay,35,1,0
CUST000122,22,Male,Suburban,3,40.25,116,0.37,2,PayPal,46,0,0
CUST000123,34,Female,Urban,6,103.12,3,0.81,0,Apple Pay,33,0,0
CUST000124,19,Male,Rural,5,47.03,13,0.79,0,Apple Pay,22,0,0
CUST000125,29,Female,Suburban,2,53.34,80,0.73,0,PayPal,8,1,0
CUST000126,37,Male,Urban,8,107.65,62,0.57,0,Credit Card,43,0,0
CUST000127,22,Female,Urban,2,10.0,15,0.51,1,PayPal,6,0,1
CUST000128,24,Male,Rural,4,26.96,36,1.0,0,Apple Pay,36,0,0
CUST000129,27,Male,Urban,5,50.37,2,1.0,0,Credit Card,49,0,0
CUST000130,24,Male,Rural,4,53.73,37,1.0,0,PayPal,26,0,0
CUST000131,19,Male,Suburban,4,67.51,108,0.93,0,Credit Card,8,0,0
CUST000132,27,Female,Suburban,5,32.68,23,0.76,0,Credit Card,13,0,0
CUST000133,21,Male,Urban,4,83.95,20,0.73,0,PayPal,23,0,0
CUST000134,29,Female,Urban,4,50.32,6,0.7,1,PayPal,10,0,0
CUST000135,22,Male,Rural,5,59.39,30,0.8,1,PayPal,21,0,0
CUST000136,34,Male,Urban,8,35.22,26,0.9,0,Apple Pay,26,0,0
CUST000137,23,Male,Suburban,6,47.53,31,1.0,0,Credit Card,28,0,0
CUST000138,25,Male,Urban,6,48.24,1,0.68,1,Credit Card,13,1,0
CUST000139,31,Male,Urban,9,85.34,23,0.47,0,Apple Pay,20,0,0
CUST000140,20,Male,Urban,5,47.45,27,0.48,0,PayPal,22,1,0
CUST000141,28,Female,Suburban,2,49.15,6,0.5,0,Credit Card,4,0,1
CUST000142,33,Male,Rural,5,48.11,7,0.51,0,Bank Transfer,13,0,0
CUST000143,18,Female,Urban,6,73.09,9,1.0,0,Apple Pay,21,0,0
CUST000144,27,Female,Urban,3,81.29,37,0.96,0,PayPal,26,1,1
CUST000145,28,Male,Urban,3,65.07,27,0.69,0,Bank Transfer,52,0,0
CUST000146,30,Male,Suburban,5,41.64,56,1.0,0,Credit Card,24,0,1
CUST000147,20,Other,Urban,5,51.61,10,0.59,0,Credit Card,6,0,0
CUST000148,20,Female,Rural,6,40.41,72,1.0,0,Apple Pay,9,0,0
CUST000149,29,Female,Suburban,2,54.99,40,0.4,0,PayPal,37,0,0
CUST000150,28,Male,Suburban,6,47.06,15,0.62,1,Credit Card,60,0,0
CUST000151,28,Female,Urban,4,60.46,3,1.0,0,PayPal,8,0,0
CUST000152,28,Female,Rural,3,15.72,8,0.69,1,PayPal,12,0,0
CUST000153,23,Female,Urban,4,76.02,94,0.4,0,Credit Card,60,0,0
CUST000154,28,Other,Urban,2,64.35,11,0.96,0,PayPal,56,1,0
CUST000155,28,Male,Suburban,6,70.04,12,0.77,0,Credit Card,30,0,0
CUST000156,23,Male,Suburban,8,50.0,6,1.0,0,PayPal,12,0,0
CUST000157,36,Female,Urban,6,18.28,49,0.96,0,PayPal,7,0,0
CUST000158,29,Female,Urban,6,51.4,9,1.0,0,Credit Card,12,0,0
CUST000159,21,Male,Suburban,5,46.0,12,0.98,0,Credit Card,14,0,0
CUST000160,30,Male,Urban,5,77.83,16,0.51,0,Apple Pay,15,0,0
CUST000161,22,Male,Rural,6,10.0,17,0.7,1,PayPal,4,0,0
CUST000162,30,Male,Suburban,4,50.82,15,0.93,0,PayPal,9,0,0
CUST000163,32,Female,Urban,5,72.33,21,0.92,0,Credit Card,21,0,0
CUST000164,22,Female,Suburban,5,36.77,50,0.91,0,PayPal,12,0,1
CUST000165,31,Male,Urban,6,61.79,51,0.79,0,PayPal,6,0,1
CUST000166,29,Male,Suburban,4,37.46,48,1.0,0,Credit Card,8,1,0
CUST000167,31,Male,Suburban,5,35.41,3,0.57,0,PayPal,16,0,0
CUST000168,36,Male,Urban,8,50.2,48,1.0,0,Credit Card,5,0,0
CUST000169,25,Female,Suburban,5,35.79,3,0.58,1,PayPal,47,0,0
CUST000170,23,Other,Rural,4,50.94,3,1.0,0,Credit Card,5,0,0
CUST000171,22,Female,Urban,3,42.36,88,0.32,0,Credit Card,32,0,0
CUST000172,22,Male,Rural,9,25.55,51,0.98,0,Apple Pay,60,0,0
CUST000173,26,Female,Urban,6,102.43,24,0.98,0,Apple Pay,6,0,0
CUST000174,28,Female,Urban,6,83.06,62,0.66,0,PayPal,7,1,0
CUST000175,28,Female,Urban,4,15.32,136,0.54,0,Bank Transfer,17,0,0
CUST000176,31,Male,Urban,8,41.65,28,1.0,0,PayPal,13,0,0
CUST000177,27,Male,Urban,6,65.82,28,0.7,0,Credit Card,38,0,0
CUST000178,34,Male,Urban,7,67.77,42,0.6,0,Credit Card,16,0,0
CUST000179,25,Male,Rural,2,16.15,7,0.83,0,PayPal,9,0,0
CUST000180,40,Male,Rural,7,58.54,5,0.76,0,PayPal,33,0,0
CUST000181,30,Male,Suburban,4,66.5,42,1.0,0,PayPal,14,0,0
CUST000182,22,Female,Urban,7,71.57,12,1.0,0,Apple Pay,8,0,0
CUST000183,21,Female,Urban,8,92.56,4,1.0,0,Bank Transfer,10,0,0
CUST000184,29,Male,Urban,6,70.85,11,0.82,0,Apple Pay,5,1,0
CUST000185,25,Male,Suburban,3,58.97,13,0.45,1,Apple Pay,2,0,0
CUST000186,30,Female,Rural,4,64.92,100,0.61,0,Apple Pay,6,0,0
CUST000187,29,Female,Urban,5,86.43,35,0.9,0,PayPal,16,0,0
CUST000188,26,Female,Urban,3,39.8,22,0.56,0,Credit Card,14,0,0
CUST000189,22,Other,Suburban,5,62.66,104,0.89,0,PayPal,4,0,1
CUST000190,19,Female,Urban,8,44.06,70,0.62,0,PayPal,9,0,0
CUST000191,24,Other,Urban,8,72.1,21,1.0,0,PayPal,30,0,0
CUST000192,31,Male,Suburban,6,59.53,70,0.94,0,Apple Pay,28,0,0
CUST000193,28,Male,Suburban,5,22.33,15,0.8,0,Apple Pay,20,0,0
CUST000194,20,Male,Urban,8,57.08,7,0.76,0,PayPal,7,0,1
CUST000195,27,Male,Urban,5,66.37,7,1.0,0,PayPal,38,0,0
CUST000196,28,Male,Rural,4,33.02,32,0.41,1,Apple Pay,17,0,0
CUST000197,22,Female,Urban,3,67.55,20,0.38,0,Credit Card,10,1,0
CUST000198,27,Female,Urban,7,79.34,32,0.54,0,Credit Card,7,1,0
CUST000199,27,Female,Urban,4,59.27,34,0.8,0,Apple Pay,32,0,0
CUST000200,21,Male,Urban,4,65.39,1,0.86,0,Bank Transfer,1,0,0
CUST000201,28,Female,Urban,5,93.2,1,0.65,1,PayPal,24,1,1
CUST000202,29,Female,Rural,3,47.57,22,0.77,0,Apple Pay,13,0,0
CUST000203,32,Male,Urban,6,64.82,6,0.74,1,PayPal,42,1,0
CUST000204,32,Female,Urban,5,37.01,30,0.93,0,PayPal,60,0,0
CUST000205,20,Male,Suburban,6,63.42,24,0.76,0,PayPal,10,0,0
CUST000206,22,Male,Suburban,5,56.6,26,1.0,0,Credit Card,38,0,1
CUST000207,29,Female,Rural,5,60.54,10,0.96,0,Credit Card,24,0,0
CUST000208,29,Male,Rural,2,40.75,30,0.64,0,Apple Pay,22,0,0
CUST000209,29,Male,Urban,5,16.41,53,0.65,0,Credit Card,4,0,0
CUST000210,46,Female,Suburban,5,16.0,187,0.53,0,Credit Card,12,1,1
CUST000211,29,Female,Suburban,3,64.71,54,0.39,2,PayPal,37,1,0
CUST000212,32,Male,Rural,6,30.88,24,1.0,0,Credit Card,45,0,0
CUST000213,31,Male,Suburban,5,58.74,6,0.68,0,Apple Pay,56,0,0
CUST000214,30,Male,Rural,3,41.83,34,0.64,0,Credit Card,12,0,0
CUST000215,25,Female,Suburban,4,46.66,83,1.0,0,PayPal,27,0,0
CUST000216,30,Male,Urban,2,57.69,7,1.0,0,PayPal,12,0,0
CUST000217,23,Male,Suburban,6,32.69,8,0.7,1,Apple Pay,21,0,0
CUST000218,25,Female,Rural,7,39.75,4,0.78,0,PayPal,27,0,0
CUST000219,24,Female,Rural,3,30.65,40,1.0,0,PayPal,13,0,0
CUST000220,27,Male,Urban,5,51.07,15,0.79,0,Apple Pay,29,0,0
CUST000221,38,Female,Suburban,5,43.53,1,0.92,0,Credit Card,16,0,0
CUST000222,18,Female,Urban,6,54.56,62,0.58,0,PayPal,18,0,0
CUST000223,30,Male,Urban,6,82.13,24,1.0,0,Apple Pay,4,0,0
CUST000224,18,Male,Urban,2,56.89,12,1.0,0,PayPal,11,0,0
CUST000225,24,Female,Urban,2,84.57,12,1.0,0,Bank Transfer,11,0,0
CUST000226,32,Male,Rural,6,64.61,10,1.0,0,Credit Card,60,0,0
CUST000227,27,Female,Urban,2,80.52,18,1.0,0,Credit Card,9,0,0
CUST000228,21,Male,Rural,7,48.55,12,0.89,0,Credit Card,18,0,0
CUST000229,23,Male,Urban,4,67.84,23,1.0,0,Apple Pay,9,0,0
CUST000230,30,Male,Urban,5,80.77,44,0.93,0,Apple Pay,16,0,0
CUST000231,23,Male,Urban,7,62.14,33,1.0,0,PayPal,21,0,0
CUST000232,28,Male,Urban,5,83.63,10,0.92,0,Credit Card,8,0,0
CUST000233,27,Male,Urban,7,74.74,22,1.0,0,Credit Card,36,1,1
CUST000234,23,Female,Urban,1,51.36,55,0.62,0,PayPal,8,1,0
CUST000235,37,Other,Suburban,4,67.92,2,0.7,0,Credit Card,4,0,0
CUST000236,30,Female,Urban,4,62.2,2,1.0,0,Bank Transfer,19,0,0
CUST000237,18,Female,Urban,9,57.45,24,1.0,0,Apple Pay,60,0,0
CUST000238,27,Male,Urban,4,48.57,30,0.5,0,Bank Transfer,2,0,0
CUST000239,23,Other,Rural,5,42.66,7,0.57,2,PayPal,5,1,0
CUST000240,31,Male,Rural,7,55.94,41,1.0,0,Bank Transfer,34,0,0
CUST000241,23,Female,Suburban,6,67.78,31,0.85,0,Bank Transfer,9,0,1
CUST000242,26,Other,Urban,3,68.48,77,0.92,1,PayPal,22,1,1
CUST000243,29,Female,Urban,3,74.39,5,0.94,0,PayPal,40,0,0
CUST000244,31,Other,Rural,6,60.35,41,0.77,0,Credit Card,32,0,1
CUST000245,20,Female,Urban,7,56.4,2,0.67,0,PayPal,21,1,0
CUST000246,25,Male,Urban,6,33.23,24,1.0,0,Apple Pay,21,0,0
CUST000247,24,Male,Urban,6,91.23,24,0.92,1,PayPal,21,0,0
CUST000248,23,Female,Urban,4,47.29,14,0.74,0,Apple Pay,23,1,0
CUST000249,35,Male,Urban,8,43.43,55,0.4,1,Credit Card,47,1,0
CUST000250,29,Female,Suburban,4,14.08,1,0.69,1,Bank Transfer,6,0,0
CUST000251,20,Other,Urban,8,73.71,22,0.89,0,Apple Pay,5,0,1
CUST000252,31,Male,Suburban,6,17.57,7,0.64,0,PayPal,29,1,0
CUST000253,37,Female,Urban,6,41.99,40,0.59,0,Bank Transfer,10,0,1
CUST000254,32,Female,Urban,5,74.12,1,1.0,0,PayPal,54,0,0
CUST000255,19,Female,Rural,5,51.55,53,0.86,0,Credit Card,22,0,0
CUST000256,24,Other,Urban,2,44.36,54,0.97,0,Credit Card,58,0,0
CUST000257,33,Female,Rural,4,37.85,53,0.48,0,PayPal,31,0,0
CUST000258,23,Other,Suburban,7,32.55,4,0.46,1,Apple Pay,15,1,0
CUST000259,29,Female,Urban,5,46.84,29,0.79,0,Credit Card,19,0,0
CUST000260,30,Male,Rural,6,44.26,1,0.56,0,PayPal,38,0,0
CUST000261,22,Male,Urban,7,47.96,56,0.5,1,Bank Transfer,4,0,0
CUST000262,26,Female,Rural,2,36.09,38,0.47,0,Credit Card,40,0,0
CUST000263,18,Male,Urban,7,24.85,22,0.65,0,Credit Card,18,0,0
CUST000264,21,Female,Rural,5,58.13,39,0.34,1,PayPal,16,0,0
CUST000265,25,Female,Urban,5,72.24,2,0.88,1,Credit Card,60,1,1
CUST000266,20,Male,Suburban,7,65.86,22,0.54,1,Credit Card,47,1,0
CUST000267,35,Female,Suburban,7,75.81,10,0.8,0,Credit Card,9,1,0
CUST000268,19,Female,Rural,5,26.8,107,0.98,0,Credit Card,24,0,0
CUST000269,24,Female,Rural,1,34.27,58,0.45,0,PayPal,8,1,0
CUST000270,27,Male,Rural,7,10.0,39,0.5,2,PayPal,27,1,0
CUST000271,34,Male,Rural,6,90.25,81,0.61,0,Bank Transfer,60,1,0
CUST000272,19,Male,Urban,5,56.41,12,0.69,0,PayPal,54,0,0
CUST000273,32,Female,Urban,7,84.93,69,0.48,1,Apple Pay,26,0,1
CUST000274,27,Male,Urban,8,30.28,11,0.86,1,Apple Pay,24,0,0
CUST000275,22,Female,Urban,4,83.91,39,0.7,0,Apple Pay,17,1,0
CUST000276,29,Male,Urban,6,104.58,40,0.91,0,PayPal,60,0,0
CUST000277,27,Male,Suburban,4,48.79,1,0.83,0,Apple Pay,35,0,0
CUST000278,23,Female,Urban,1,35.74,13,0.96,0,Bank Transfer,13,0,0
CUST000279,27,Female,Suburban,3,47.22,1,0.85,0,PayPal,21,0,0
CUST000280,25,Male,Urban,4,10.0,175,0.52,0,Credit Card,22,1,0
CUST000281,27,Male,Urban,5,59.09,3,1.0,0,PayPal,9,0,0
CUST000282,30,Male,Suburban,4,66.42,23,1.0,0,Credit Card,22,0,0
CUST000283,34,Female,Suburban,6,49.28,46,0.58,0,Credit Card,29,0,0
CUST000284,20,Female,Suburban,2,44.32,6,0.63,1,PayPal,8,0,0
CUST000285,37,Male,Suburban,3,60.55,19,0.73,0,PayPal,41,1,0
CUST000286,18,Male,Urban,5,74.5,28,0.89,0,Apple Pay,11,0,0
CUST000287,26,Male,Suburban,5,16.8,5,1.0,0,PayPal,13,0,0
CUST000288,29,Female,Urban,5,62.13,45,1.0,0,PayPal,11,0,0
CUST000289,28,Other,Urban,6,118.46,10,0.84,0,PayPal,9,0,0
CUST000290,23,Male,Urban,4,27.96,7,0.66,0,PayPal,46,0,0
CUST000291,25,Female,Urban,9,57.95,24,0.85,0,PayPal,51,0,0
CUST000292,24,Male,Urban,7,106.6,15,0.82,0,Apple Pay,12,0,0
CUST000293,24,Male,Rural,2,57.67,75,0.76,1,PayPal,42,1,1
CUST000294,31,Female,Rural,4,31.79,63,0.86,0,PayPal,4,0,0
CUST000295,28,Female,Urban,4,64.95,19,0.81,0,PayPal,15,0,1
CUST000296,23,Female,Urban,6,59.95,13,0.53,0,Apple Pay,6,0,0
CUST000297,31,Female,Urban,8,42.05,11,1.0,0,Apple Pay,60,0,0
CUST000298,28,Male,Urban,4,58.22,9,0.76,0,PayPal,47,0,0
CUST000299,31,Female,Rural,6,35.52,23,0.98,0,PayPal,3,0,0
CUST000300,30,Male,Urban,5,62.71,49,0.74,0,Bank Transfer,9,0,0
CUST000301,22,Female,Suburban,3,35.03,11,0.66,1,Apple Pay,16,0,0
CUST000302,24,Male,Urban,3,29.36,6,0.52,1,PayPal,18,0,0
CUST000303,30,Female,Rural,7,39.34,19,0.9,0,Credit Card,6,0,0
CUST000304,30,Male,Urban,3,101.16,2,0.87,0,PayPal,33,0,0
CUST000305,26,Male,Suburban,8,51.64,36,1.0,0,PayPal,42,0,0
CUST000306,27,Female,Urban,8,52.04,21,0.63,0,PayPal,25,0,0
CUST000307,33,Male,Suburban,6,65.08,20,0.96,0,Credit Card,24,1,0
CUST000308,24,Female,Urban,5,56.2,10,1.0,0,Credit Card,11,0,0
CUST000309,29,Male,Urban,3,104.83,70,0.6,0,PayPal,15,0,0
CUST000310,25,Male,Rural,3,39.94,2,0.55,0,Apple Pay,23,0,0
CUST000311,25,Male,Rural,6,51.21,61,0.45,0,Apple Pay,25,0,0
CUST000312,32,Male,Rural,6,27.93,14,0.63,0,PayPal,19,0,0
CUST000313,31,Female,Suburban,5,60.06,63,0.94,0,Apple Pay,40,1,0
CUST000314,31,Male,Rural,7,44.4,39,1.0,0,Credit Card,29,0,0
CUST000315,33,Female,Urban,4,58.64,3,0.48,1,PayPal,43,1,0
CUST000316,27,Female,Urban,12,47.96,53,1.0,0,Credit Card,21,1,0
CUST000317,30,Male,Urban,1,44.69,34,0.86,1,Bank Transfer,21,0,0
CUST000318,25,Female,Suburban,6,55.65,1,0.7,0,Apple Pay,37,0,0
CUST000319,28,Female,Urban,1,75.09,4,1.0,0,Apple Pay,8,0,0
CUST000320,26,Female,Urban,6,56.95,30,0.7,0,PayPal,60,0,0
CUST000321,27,Male,Suburban,1,55.75,32,0.41,1,Bank Transfer,11,1,1
CUST000322,29,Male,Rural,4,39.39,41,0.81,0,Apple Pay,10,0,0
CUST000323,22,Female,Urban,3,62.36,38,0.56,1,Credit Card,41,0,0
CUST000324,37,Female,Urban,4,55.19,32,0.87,0,Bank Transfer,30,1,0
CUST000325,21,Female,Urban,5,60.43,43,0.62,0,Credit Card,33,1,0
CUST000326,20,Male,Urban,5,124.75,25,0.94,0,Apple Pay,22,0,0
CUST000327,32,Female,Urban,6,67.48,9,1.0,0,Credit Card,8,0,0
CUST000328,30,Male,Suburban,9,62.91,73,1.0,0,Credit Card,60,0,0
CUST000329,30,Female,Suburban,3,58.76,1,1.0,0,Bank Transfer,40,0,0
CUST000330,30,Male,Suburban,3,44.74,13,0.55,0,Credit Card,12,0,0
CUST000331,26,Female,Urban,6,91.06,39,0.98,0,Credit Card,37,1,0
CUST000332,22,Male,Rural,6,35.34,16,1.0,0,PayPal,13,0,0
CUST000333,27,Male,Urban,3,85.32,1,1.0,0,Apple Pay,14,0,0
CUST000334,23,Female,Suburban,7,43.32,2,0.74,0,Credit Card,15,0,0
CUST000335,31,Male,Rural,5,24.64,31,0.78,0,Apple Pay,11,0,0
